run_id,band,elapsed_s,temp,target_temp,error,abs_error,temp_velocity,current_kp,current_ki,current_kd,kp,ki,kd,history_score,cost,n_samples,far_mae,time_to_reach_mid_band,mid_mae,approach_speed,tail_mae,jitter_std,overshoot
,near,1080.0,0.020473376846894,0.0,-0.020473376846894,0.020473376846894,0.00014376898761838015,11.0,801.0,20.0,11.0,821.0,20.0,0.0174176707460079,0.0174176707460079,,,,,,,,
,near,1040.0,0.0260430963526232,0.0,-0.0260430963526232,0.0260430963526232,-0.0005483932851348104,12.0,838.0,20.0,12.0,845.0,20.0,0.0180773794428627,0.0180773794428627,,,,,,,,
,near,720.0,0.0486206237110309,0.0,-0.0486206237110309,0.0486206237110309,-1.555944836581988e-05,34.0,15.0,15.0,35.0,12.0,18.0,0.0187184025212444,0.0187184025212444,,,,,,,,
,near,690.0,0.0282161546929273,0.0,-0.0282161546929273,0.0282161546929273,0.00075280324575336,1.0,173.0,4.0,1.0,154.0,6.0,0.020260190131314,0.020260190131314,,,,,,,,
,near,1030.0,0.0315270292039713,0.0,-0.0315270292039713,0.0315270292039713,-0.00023658874561078986,11.0,778.0,20.0,12.0,838.0,20.0,0.0212727767281225,0.0212727767281225,,,,,,,,
,near,770.0,0.0201130415143779,0.0,-0.0201130415143779,0.0201130415143779,2.8419984118899232e-06,35.0,12.0,18.0,36.0,181.0,20.0,0.0213353364067118,0.0213353364067118,,,,,,,,
,near,890.0,0.0361974678298793,0.0,-0.0361974678298793,0.0361974678298793,-0.0029034249484539004,12.0,541.0,13.0,14.0,754.0,18.0,0.0236894721449747,0.0236894721449747,,,,,,,,
,near,1020.0,0.0338929166600792,0.0,-0.0338929166600792,0.0338929166600792,-9.534285054541986e-05,11.0,778.0,20.0,11.0,778.0,20.0,0.023785158284293,0.023785158284293,,,,,,,,
,near,780.0,0.0263103412062264,0.0,-0.0263103412062264,0.0263103412062264,0.0006197299691848502,36.0,181.0,20.0,36.0,22.0,13.0,0.0253338258072091,0.0253338258072091,,,,,,,,
,near,990.0,0.0315891640193513,0.0,-0.0315891640193513,0.0315891640193513,0.0002549730183091101,10.0,640.0,19.0,11.0,713.0,19.0,0.0255358950494586,0.0255358950494586,,,,,,,,
,near,800.0,0.0346074547915122,0.0,-0.0346074547915122,0.0346074547915122,0.00188343002810143,1.0,95.0,14.0,14.0,73.0,17.0,0.0259220821830996,0.0259220821830996,,,,,,,,
,near,980.0,0.0290394338362602,0.0,-0.0290394338362602,0.0290394338362602,-0.0007129404693842,14.0,897.0,20.0,10.0,640.0,19.0,0.0264259350187591,0.0264259350187591,,,,,,,,
,near,950.0,0.0452183138977488,0.0,-0.0452183138977488,0.0452183138977488,-6.227977573871959e-05,11.0,691.0,20.0,12.0,734.0,20.0,0.026541065190081,0.026541065190081,,,,,,,,
,near,970.0,0.0361688385301022,0.0,-0.0361688385301022,0.0361688385301022,0.0004346597765106701,10.0,635.0,20.0,14.0,897.0,20.0,0.0265713567351178,0.0265713567351178,,,,,,,,
,near,900.0,0.0246978133282027,0.0,-0.0246978133282027,0.0246978133282027,-0.00114996545016766,14.0,754.0,18.0,15.0,872.0,20.0,0.0267012743904335,0.0267012743904335,,,,,,,,
,near,1000.0,0.0313388914501047,0.0,-0.0313388914501047,0.0313388914501047,-2.5027256924660403e-05,11.0,713.0,19.0,10.0,649.0,17.0,0.0271554485068879,0.0271554485068879,,,,,,,,
,near,1010.0,0.0348463451655334,0.0,-0.0348463451655334,0.0348463451655334,0.0003507453715428703,10.0,649.0,17.0,11.0,778.0,20.0,0.0273946703973098,0.0273946703973098,,,,,,,,
,near,960.0,0.0318222407649955,0.0,-0.0318222407649955,0.0318222407649955,-0.0013396073132753302,12.0,734.0,20.0,10.0,635.0,20.0,0.0281658681820722,0.0281658681820722,,,,,,,,
,near,880.0,0.0652317173144183,0.0,-0.0652317173144183,0.0652317173144183,-0.0017997998744249289,9.0,426.0,20.0,12.0,541.0,13.0,0.0337114305997179,0.0337114305997179,,,,,,,,
,near,940.0,0.045841111655136,0.0,-0.045841111655136,0.045841111655136,-0.0005687940865755102,11.0,649.0,20.0,11.0,691.0,20.0,0.033888033109798,0.033888033109798,,,,,,,,
,near,910.0,0.0296282832559882,0.0,-0.0296282832559882,0.0296282832559882,0.0004930469927785501,15.0,872.0,20.0,12.0,673.0,19.0,0.0348824643097702,0.0348824643097702,,,,,,,,
,near,660.0,0.0056320573203265,0.0,-0.0056320573203265,0.0056320573203265,-0.0021071629705450797,1.0,191.0,2.0,1.0,173.0,4.0,0.0359472611489748,0.0359472611489748,,,,,,,,
,near,700.0,0.0404553055341239,0.0,-0.0404553055341239,0.0404553055341239,0.0034319393336773004,34.0,15.0,15.0,34.0,15.0,15.0,0.0364151894829023,0.0364151894829023,,,,,,,,
,near,930.0,0.0515290525208911,0.0,-0.0515290525208911,0.0515290525208911,0.00105888918042183,10.0,575.0,19.0,11.0,649.0,20.0,0.0374748928314138,0.0374748928314138,,,,,,,,
,near,710.0,0.0487762181946891,0.0,-0.0487762181946891,0.0487762181946891,0.00083209126605652,34.0,15.0,15.0,34.0,15.0,15.0,0.037873656931482,0.037873656931482,,,,,,,,
,near,810.0,0.0119085531396194,0.0,-0.0119085531396194,0.0119085531396194,-0.00226989016518928,14.0,73.0,17.0,14.0,101.0,13.0,0.0407510086465432,0.0407510086465432,,,,,,,,
,near,920.0,0.0409401607166728,0.0,-0.0409401607166728,0.0409401607166728,0.00113118774606846,12.0,673.0,19.0,10.0,575.0,19.0,0.0408034076986169,0.0408034076986169,,,,,,,,
,near,690.0,0.0061359121973509,0.0,-0.0061359121973509,0.0061359121973509,-0.00010748247732409004,36.0,1.0,20.0,34.0,15.0,15.0,0.0414797297171305,0.0414797297171305,,,,,,,,
,near,630.0,0.0688469464366789,0.0,-0.0688469464366789,0.0688469464366789,-0.00524682451505214,1.0,160.0,9.0,1.0,191.0,2.0,0.0462828925240884,0.0462828925240884,,,,,,,,
